 time            v(Vout+)        v(Vout-)        v(vout+)-v(vout-)
 0.00000000e+00  1.41915885e-05  1.63947925e+00 -1.63946506e+00 
 1.00000000e-12  1.41916140e-05  1.63947925e+00 -1.63946506e+00 
 2.00000000e-12  1.41916296e-05  1.63947925e+00 -1.63946506e+00 
 4.00000000e-12  1.41916490e-05  1.63947925e+00 -1.63946506e+00 
 8.00000000e-12  1.41916504e-05  1.63947925e+00 -1.63946506e+00 
 1.60000000e-11  1.41916132e-05  1.63947925e+00 -1.63946506e+00 
 3.20000000e-11  1.41915668e-05  1.63947925e+00 -1.63946506e+00 
 6.40000000e-11  1.41915609e-05  1.63947925e+00 -1.63946506e+00 
 1.28000000e-10  1.41915580e-05  1.63947925e+00 -1.63946506e+00 
 2.28000000e-10  1.41915721e-05  1.63947925e+00 -1.63946506e+00 
 3.28000000e-10  1.41915880e-05  1.63947925e+00 -1.63946506e+00 
 4.28000000e-10  1.41915833e-05  1.63947925e+00 -1.63946506e+00 
 5.28000000e-10  1.41915757e-05  1.63947925e+00 -1.63946506e+00 
 6.28000000e-10  1.41915643e-05  1.63947925e+00 -1.63946506e+00 
 7.28000000e-10  1.41915835e-05  1.63947925e+00 -1.63946506e+00 
 8.28000000e-10  1.41915966e-05  1.63947925e+00 -1.63946506e+00 
 9.28000000e-10  1.41916033e-05  1.63947925e+00 -1.63946506e+00 
 1.00000000e-09  1.41916178e-05  1.63947925e+00 -1.63946506e+00 
 1.01000000e-09  1.43121900e-05  1.63947937e+00 -1.63946506e+00 
 1.03000000e-09  1.41950090e-05  1.63947926e+00 -1.63946506e+00 
 1.07000000e-09  1.41081517e-05  1.63947917e+00 -1.63946506e+00 
 1.15000000e-09  1.42510207e-05  1.63947931e+00 -1.63946506e+00 
 1.25000000e-09  1.41435334e-05  1.63947920e+00 -1.63946506e+00 
 1.35000000e-09  1.42531675e-05  1.63947931e+00 -1.63946506e+00 
 1.45000000e-09  1.43536173e-05  1.63947941e+00 -1.63946506e+00 
 1.55000000e-09  1.39373529e-05  1.63947900e+00 -1.63946506e+00 
 1.65000000e-09  1.53251943e-05  1.63948039e+00 -1.63946506e+00 
 1.75000000e-09  1.48363581e-05  1.63947990e+00 -1.63946506e+00 
 1.85000000e-09  1.23702971e-05  1.63947743e+00 -1.63946506e+00 
 1.95000000e-09 -1.70365317e-06  1.63946336e+00 -1.63946506e+00 
 2.00000000e-09 -3.48837243e-05  1.63943017e+00 -1.63946506e+00 
 2.01000000e-09 -4.58459222e-05  1.63941921e+00 -1.63946506e+00 
 2.03000000e-09 -6.78961983e-05  1.63939716e+00 -1.63946505e+00 
 2.07000000e-09 -4.51632822e-05  1.63941988e+00 -1.63946504e+00 
 2.15000000e-09  9.53482070e-04  1.64041856e+00 -1.63946508e+00 
 2.25000000e-09  3.83670096e-03  1.64330247e+00 -1.63946577e+00 
 2.35000000e-09  6.48678546e-03  1.64595497e+00 -1.63946819e+00 
 2.45000000e-09  8.56632137e-03  1.64803976e+00 -1.63947344e+00 
 2.55000000e-09  1.02068896e-02  1.64968925e+00 -1.63948236e+00 
