 time            v(Vout+)        v(Vout-)        v(Vout+)-v(Vout-)
 0.00000000e+00  2.69060413e-07  8.71639502e-02 -8.71636811e-02 
 1.00000000e-12  2.69115709e-07  8.71639502e-02 -8.71636811e-02 
 2.00000000e-12  2.69146143e-07  8.71639502e-02 -8.71636811e-02 
 4.00000000e-12  2.69187193e-07  8.71639503e-02 -8.71636811e-02 
 8.00000000e-12  2.69198444e-07  8.71639503e-02 -8.71636811e-02 
 1.60000000e-11  2.69135911e-07  8.71639502e-02 -8.71636811e-02 
 3.20000000e-11  2.69038705e-07  8.71639501e-02 -8.71636811e-02 
 6.40000000e-11  2.69022650e-07  8.71639501e-02 -8.71636811e-02 
 1.28000000e-10  2.69055879e-07  8.71639502e-02 -8.71636811e-02 
 2.28000000e-10  2.69065807e-07  8.71639502e-02 -8.71636811e-02 
 3.28000000e-10  2.69074991e-07  8.71639502e-02 -8.71636811e-02 
 4.28000000e-10  2.69075418e-07  8.71639502e-02 -8.71636811e-02 
 5.28000000e-10  2.69072631e-07  8.71639502e-02 -8.71636811e-02 
 6.28000000e-10  2.69065277e-07  8.71639502e-02 -8.71636811e-02 
 7.28000000e-10  2.69057505e-07  8.71639502e-02 -8.71636811e-02 
 8.28000000e-10  2.69050010e-07  8.71639501e-02 -8.71636811e-02 
 9.28000000e-10  2.69043578e-07  8.71639501e-02 -8.71636811e-02 
 1.00000000e-09  2.69039257e-07  8.71639501e-02 -8.71636811e-02 
 1.01000000e-09  4.99043095e-07  8.71641801e-02 -8.71636811e-02 
 1.03000000e-09  2.65974925e-07  8.71639471e-02 -8.71636811e-02 
 1.07000000e-09  8.38829536e-08  8.71637650e-02 -8.71636811e-02 
 1.15000000e-09  3.88124620e-07  8.71640692e-02 -8.71636811e-02 
 1.25000000e-09  1.85181476e-07  8.71638663e-02 -8.71636811e-02 
 1.35000000e-09  3.73433988e-07  8.71640545e-02 -8.71636811e-02 
 1.45000000e-09  5.04083152e-07  8.71641852e-02 -8.71636811e-02 
 1.55000000e-09 -2.90433069e-07  8.71633907e-02 -8.71636811e-02 
 1.65000000e-09  1.99644400e-06  8.71656776e-02 -8.71636812e-02 
