 time            v(Vout+)        v(Vout-)        v(vout+)-v(vout-)
 0.00000000e+00  3.55041414e-07  9.36725456e-02 -9.36721906e-02 
 1.00000000e-12  3.55096760e-07  9.36725457e-02 -9.36721906e-02 
 2.00000000e-12  3.55130897e-07  9.36725457e-02 -9.36721906e-02 
 4.00000000e-12  3.55178250e-07  9.36725458e-02 -9.36721906e-02 
 8.00000000e-12  3.55193342e-07  9.36725458e-02 -9.36721906e-02 
 1.60000000e-11  3.55128525e-07  9.36725457e-02 -9.36721906e-02 
 3.20000000e-11  3.55030854e-07  9.36725456e-02 -9.36721906e-02 
 6.40000000e-11  3.55032921e-07  9.36725456e-02 -9.36721906e-02 
 1.28000000e-10  3.55101601e-07  9.36725457e-02 -9.36721906e-02 
 2.28000000e-10  3.55139103e-07  9.36725457e-02 -9.36721906e-02 
 3.28000000e-10  3.55155920e-07  9.36725457e-02 -9.36721906e-02 
 4.28000000e-10  3.55160408e-07  9.36725457e-02 -9.36721906e-02 
 5.28000000e-10  3.55162348e-07  9.36725457e-02 -9.36721906e-02 
 6.28000000e-10  3.55158593e-07  9.36725457e-02 -9.36721906e-02 
 7.28000000e-10  3.55153103e-07  9.36725457e-02 -9.36721906e-02 
 8.28000000e-10  3.55145084e-07  9.36725457e-02 -9.36721906e-02 
 9.28000000e-10  3.55136960e-07  9.36725457e-02 -9.36721906e-02 
 1.00000000e-09  3.55132643e-07  9.36725457e-02 -9.36721906e-02 
 1.01000000e-09  5.81064480e-07  9.36727716e-02 -9.36721906e-02 
 1.03000000e-09  3.56873611e-07  9.36725475e-02 -9.36721906e-02 
 1.07000000e-09  1.66131077e-07  9.36723567e-02 -9.36721906e-02 
 1.15000000e-09  4.78052961e-07  9.36726686e-02 -9.36721906e-02 
 1.25000000e-09  2.68092501e-07  9.36724587e-02 -9.36721906e-02 
 1.35000000e-09  4.63287233e-07  9.36726539e-02 -9.36721906e-02 
 1.45000000e-09  6.07214995e-07  9.36727978e-02 -9.36721906e-02 
 1.55000000e-09 -3.19715786e-07  9.36718709e-02 -9.36721906e-02 
 1.65000000e-09  2.26121821e-06  9.36744519e-02 -9.36721906e-02 
 1.75000000e-09  2.31158249e-07  9.36724219e-02 -9.36721908e-02 
 1.85000000e-09 -5.95192055e-06  9.36662388e-02 -9.36721907e-02 
 1.95000000e-09 -3.05450026e-05  9.36416439e-02 -9.36721889e-02 
 2.00000000e-09 -9.88860748e-05  9.35733000e-02 -9.36721861e-02 
 2.01000000e-09 -1.13961828e-04  9.35582233e-02 -9.36721851e-02 
 2.03000000e-09 -1.07644528e-04  9.35645383e-02 -9.36721828e-02 
 2.07000000e-09  4.12874018e-04  9.40850542e-02 -9.36721802e-02 
 2.15000000e-09  4.60096292e-03  9.82732741e-02 -9.36723111e-02 
 2.25000000e-09  9.18017549e-03  1.02853296e-01 -9.36731201e-02 
 2.35000000e-09  8.49889652e-03  1.02173825e-01 -9.36749284e-02 
 2.45000000e-09  5.05957849e-03  9.87372745e-02 -9.36776960e-02 
 2.55000000e-09 -1.55461866e-03  9.21268262e-02 -9.36814449e-02 
 2.65000000e-09 -1.01726289e-02  8.35138862e-02 -9.36865151e-02 
 2.75000000e-09 -8.92562172e-03  8.47673902e-02 -9.36930119e-02 
 2.85000000e-09 -6.01374217e-03  8.76865667e-02 -9.37003089e-02 
 2.95000000e-09 -4.14728073e-03  8.95603409e-02 -9.37076217e-02 
 3.05000000e-09 -2.76429807e-03  9.09502380e-02 -9.37145360e-02 
 3.15000000e-09 -1.78456087e-03  9.19363213e-02 -9.37208822e-02 
 3.25000000e-09 -1.06728238e-03  9.26593113e-02 -9.37265936e-02 
 3.35000000e-09 -5.65974788e-04  9.31656777e-02 -9.37316524e-02 
 3.45000000e-09 -1.99218417e-04  9.35368441e-02 -9.37360625e-02 
 3.55000000e-09  4.49804832e-05  9.37848180e-02 -9.37398376e-02 
 3.65000000e-09  2.22730825e-04  9.39657259e-02 -9.37429951e-02 
 3.75000000e-09  3.28403001e-04  9.40739570e-02 -9.37455540e-02 
 3.85000000e-09  4.04889589e-04  9.41524228e-02 -9.37475333e-02 
 3.95000000e-09  4.37209247e-04  9.41861605e-02 -9.37489512e-02 
 4.05000000e-09  4.60911025e-04  9.42107367e-02 -9.37498256e-02 
 4.15000000e-09  4.55931865e-04  9.42061053e-02 -9.37501734e-02 
 4.25000000e-09  4.53615627e-04  9.42036264e-02 -9.37500108e-02 
 4.35000000e-09  4.31145285e-04  9.41804984e-02 -9.37493531e-02 
 4.45000000e-09  4.17406215e-04  9.41656213e-02 -9.37482151e-02 
 4.55000000e-09  3.88129227e-04  9.41347401e-02 -9.37466109e-02 
 4.65000000e-09  3.70729972e-04  9.41152839e-02 -9.37445539e-02 
 4.75000000e-09  3.40221711e-04  9.40822788e-02 -9.37420571e-02 
 4.85000000e-09  3.23113182e-04  9.40622461e-02 -9.37391329e-02 
 4.95000000e-09  2.94115423e-04  9.40299087e-02 -9.37357933e-02 
 5.05000000e-09  2.79150309e-04  9.40112000e-02 -9.37320497e-02 
 5.15000000e-09  2.52859608e-04  9.39807728e-02 -9.37279132e-02 
 5.25000000e-09  2.40760899e-04  9.39641553e-02 -9.37233944e-02 
 5.35000000e-09  2.17555005e-04  9.39360588e-02 -9.37185038e-02 
 5.45000000e-09  2.08458938e-04  9.39217101e-02 -9.37132512e-02 
 5.55000000e-09  1.88302340e-04  9.38959485e-02 -9.37076462e-02 
 5.65000000e-09  1.82058459e-04  9.38837567e-02 -9.37016982e-02 
 5.75000000e-09  1.64725634e-04  9.38601419e-02 -9.36954162e-02 
 5.85000000e-09  1.61060452e-04  9.38498695e-02 -9.36888090e-02 
 5.95000000e-09  1.46251831e-04  9.38281368e-02 -9.36818850e-02 
 6.00000000e-09  1.48477101e-04  9.38267836e-02 -9.36783065e-02 
 6.01000000e-09  1.44368357e-04  9.38219485e-02 -9.36775801e-02 
 6.03000000e-09  1.43071225e-04  9.38191925e-02 -9.36761213e-02 
 6.07000000e-09  1.40808599e-04  9.38139760e-02 -9.36731674e-02 
 6.15000000e-09  1.35279936e-04  9.38023969e-02 -9.36671170e-02 
 6.25000000e-09  1.30073166e-04  9.37893643e-02 -9.36592911e-02 
 6.35000000e-09  1.25244215e-04  9.37764241e-02 -9.36511799e-02 
 6.45000000e-09  1.21545355e-04  9.37643361e-02 -9.36427907e-02 
 6.55000000e-09  1.17885921e-04  9.37520166e-02 -9.36341307e-02 
 6.65000000e-09  1.15774736e-04  9.37409813e-02 -9.36252065e-02 
 6.75000000e-09  1.14146409e-04  9.37301715e-02 -9.36160251e-02 
 6.85000000e-09  1.13446880e-04  9.37200399e-02 -9.36065930e-02 
 6.95000000e-09  1.13113278e-04  9.37100300e-02 -9.35969167e-02 
 7.00000000e-09  1.13173340e-04  9.37051621e-02 -9.35919887e-02 
 7.01000000e-09  1.13382537e-04  9.37043774e-02 -9.35909949e-02 
 7.03000000e-09  1.13206851e-04  9.37022093e-02 -9.35890025e-02 
 7.07000000e-09  1.13149762e-04  9.36981396e-02 -9.35849898e-02 
 7.15000000e-09  1.13936360e-04  9.36907906e-02 -9.35768543e-02 
 7.25000000e-09  1.14829925e-04  9.36813118e-02 -9.35664819e-02 
 7.35000000e-09  1.16469172e-04  9.36723583e-02 -9.35558891e-02 
 7.45000000e-09  1.18233397e-04  9.36633150e-02 -9.35450816e-02 
 7.55000000e-09  1.20574516e-04  9.36546393e-02 -9.35340647e-02 
 7.65000000e-09  1.23087777e-04  9.36459317e-02 -9.35228439e-02 
 7.75000000e-09  1.26061491e-04  9.36374858e-02 -9.35114244e-02 
 7.85000000e-09  1.29220907e-04  9.36290320e-02 -9.34998111e-02 
 7.95000000e-09  1.32756492e-04  9.36207655e-02 -9.34880090e-02 
 8.05000000e-09  1.36477693e-04  9.36125008e-02 -9.34760231e-02 
 8.15000000e-09  1.40511292e-04  9.36043692e-02 -9.34638579e-02 
 8.25000000e-09  1.44723513e-04  9.35962417e-02 -9.34515182e-02 
 8.35000000e-09  1.49199092e-04  9.35882074e-02 -9.34390083e-02 
 8.45000000e-09  1.53843324e-04  9.35801761e-02 -9.34263328e-02 
 8.55000000e-09  1.58712193e-04  9.35722080e-02 -9.34134958e-02 
 8.65000000e-09  1.63738536e-04  9.35642401e-02 -9.34005016e-02 
 8.75000000e-09  1.68958388e-04  9.35563126e-02 -9.33873542e-02 
 8.85000000e-09  1.74324420e-04  9.35483821e-02 -9.33740576e-02 
 8.95000000e-09  1.79858801e-04  9.35404747e-02 -9.33606159e-02 
 9.05000000e-09  1.85528260e-04  9.35325609e-02 -9.33470327e-02 
 9.15000000e-09  1.91345459e-04  9.35246572e-02 -9.33333117e-02 
 9.25000000e-09  1.97287205e-04  9.35167440e-02 -9.33194568e-02 
 9.35000000e-09  2.03359632e-04  9.35088309e-02 -9.33054713e-02 
 9.45000000e-09  2.09546745e-04  9.35009055e-02 -9.32913588e-02 
 9.55000000e-09  2.15850238e-04  9.34929729e-02 -9.32771226e-02 
 9.65000000e-09  2.22259359e-04  9.34850256e-02 -9.32627662e-02 
 9.75000000e-09  2.28772738e-04  9.34770655e-02 -9.32482927e-02 
 9.85000000e-09  2.35383439e-04  9.34690888e-02 -9.32337054e-02 
 9.95000000e-09  2.42088049e-04  9.34610953e-02 -9.32190072e-02 
 1.00500000e-08  2.48882406e-04  9.34530838e-02 -9.32042014e-02 
 1.01500000e-08  2.55761726e-04  9.34450524e-02 -9.31892907e-02 
 1.02500000e-08  2.62723903e-04  9.34370021e-02 -9.31742782e-02 
 1.03500000e-08  2.69763248e-04  9.34289299e-02 -9.31591667e-02 
 1.04500000e-08  2.76879194e-04  9.34208380e-02 -9.31439588e-02 
 1.05500000e-08  2.84065464e-04  9.34127230e-02 -9.31286575e-02 
 1.06500000e-08  2.91322619e-04  9.34045879e-02 -9.31132652e-02 
 1.07500000e-08  2.98644023e-04  9.33964287e-02 -9.30977847e-02 
 1.08500000e-08  3.06031138e-04  9.33882495e-02 -9.30822183e-02 
 1.09500000e-08  3.13477120e-04  9.33800458e-02 -9.30665687e-02 
 1.10000000e-08  3.17224078e-04  9.33759374e-02 -9.30587134e-02 
 1.10100000e-08  3.18177480e-04  9.33753170e-02 -9.30571395e-02 
 1.10300000e-08  3.19487954e-04  9.33734781e-02 -9.30539902e-02 
 1.10700000e-08  3.22329614e-04  9.33700117e-02 -9.30476820e-02 
 1.11500000e-08  3.28649485e-04  9.33636781e-02 -9.30350286e-02 
 1.12500000e-08  3.36083198e-04  9.33552267e-02 -9.30191435e-02 
 1.13500000e-08  3.43920224e-04  9.33471046e-02 -9.30031844e-02 
 1.14500000e-08  3.51629416e-04  9.33387831e-02 -9.29871536e-02 
 1.15500000e-08  3.59376721e-04  9.33304301e-02 -9.29710534e-02 
