 time            v(Vout+)        v(Vout-)        v(Vout+)-v(Vout-)
 0.00000000e+00  1.34613848e-10  3.83897051e-05 -3.83895705e-05 
 5.00000000e-13  1.45473605e-10  3.83897160e-05 -3.83895705e-05 
 1.00000000e-12  1.44509140e-10  3.83897150e-05 -3.83895705e-05 
 2.00000000e-12  1.41838330e-10  3.83897123e-05 -3.83895705e-05 
 4.00000000e-12  1.37303062e-10  3.83897078e-05 -3.83895705e-05 
 8.00000000e-12  1.33556232e-10  3.83897040e-05 -3.83895705e-05 
 1.60000000e-11  1.32277370e-10  3.83897028e-05 -3.83895705e-05 
 3.20000000e-11  1.34212175e-10  3.83897047e-05 -3.83895705e-05 
 6.40000000e-11  1.34768765e-10  3.83897052e-05 -3.83895705e-05 
 1.14000000e-10  1.34715696e-10  3.83897052e-05 -3.83895705e-05 
 1.64000000e-10  1.34604502e-10  3.83897051e-05 -3.83895705e-05 
 2.14000000e-10  1.34696206e-10  3.83897052e-05 -3.83895705e-05 
 2.64000000e-10  1.34566454e-10  3.83897050e-05 -3.83895705e-05 
 3.14000000e-10  1.34680631e-10  3.83897052e-05 -3.83895705e-05 
 3.64000000e-10  1.34545277e-10  3.83897050e-05 -3.83895705e-05 
 4.14000000e-10  1.34674025e-10  3.83897052e-05 -3.83895705e-05 
 4.64000000e-10  1.34541014e-10  3.83897050e-05 -3.83895705e-05 
 5.14000000e-10  1.34662818e-10  3.83897051e-05 -3.83895705e-05 
 5.64000000e-10  1.34524017e-10  3.83897050e-05 -3.83895705e-05 
 6.14000000e-10  1.34651822e-10  3.83897051e-05 -3.83895705e-05 
 6.64000000e-10  1.34525527e-10  3.83897050e-05 -3.83895705e-05 
 7.14000000e-10  1.34646771e-10  3.83897051e-05 -3.83895705e-05 
 7.64000000e-10  1.34517762e-10  3.83897050e-05 -3.83895705e-05 
 8.14000000e-10  1.34638054e-10  3.83897051e-05 -3.83895705e-05 
 8.64000000e-10  1.34518224e-10  3.83897050e-05 -3.83895705e-05 
 9.14000000e-10  1.34636972e-10  3.83897051e-05 -3.83895705e-05 
 9.64000000e-10  1.34514829e-10  3.83897050e-05 -3.83895705e-05 
 1.00000000e-09  1.34639652e-10  3.83897051e-05 -3.83895705e-05 
 1.00500000e-09  9.84278557e-09  3.83994181e-05 -3.83895753e-05 
 1.01500000e-09 -9.43651669e-09  3.83801388e-05 -3.83895753e-05 
 1.03500000e-09  1.50448349e-09  3.83910717e-05 -3.83895672e-05 
 1.07500000e-09  1.34025335e-11  3.83895831e-05 -3.83895697e-05 
 1.12500000e-09  5.85066677e-10  3.83901556e-05 -3.83895705e-05 
 1.17500000e-09 -3.14284091e-10  3.83892562e-05 -3.83895705e-05 
 1.22500000e-09  5.71515216e-10  3.83901420e-05 -3.83895705e-05 
 1.27500000e-09 -2.50960618e-10  3.83893197e-05 -3.83895706e-05 
 1.32500000e-09  6.06991235e-10  3.83901778e-05 -3.83895708e-05 
 1.37500000e-09  2.72517987e-10  3.83898449e-05 -3.83895724e-05 
 1.42500000e-09  1.77580344e-09  3.83913526e-05 -3.83895768e-05 
 1.47500000e-09 -6.00233586e-10  3.83889788e-05 -3.83895790e-05 
 1.52500000e-09 -1.38358700e-08  3.83757066e-05 -3.83895425e-05 
 1.57500000e-09  3.02790732e-08  3.84198619e-05 -3.83895828e-05 
 1.62500000e-09 -2.66973061e-08  3.83628934e-05 -3.83895907e-05 
 1.67500000e-09  3.68511512e-08  3.84264666e-05 -3.83896154e-05 
 1.72500000e-09 -4.25273892e-08  3.83470730e-05 -3.83896004e-05 
 1.77500000e-09  1.17057496e-08  3.84012295e-05 -3.83895237e-05 
 1.82500000e-09 -1.74782461e-08  3.83720304e-05 -3.83895086e-05 
 1.87500000e-09 -2.40147531e-08  3.83653905e-05 -3.83894052e-05 
